2023-06-25 14:18: Experiment log path in: ../runs/PEMS08/06-25-14h18m_PEMS08_gode_rnn__embed{10}hid{128}hidhid{128}lyrs{3}lr{0.001}wd{0.001}
2023-06-25 14:24: Train Epoch 3: 140/167 Loss: 22.782465
2023-06-25 14:24: Train Epoch 3: 160/167 Loss: 24.689823
2023-06-25 14:24: **********Train Epoch 3: averaged Loss: 23.524003
2023-06-25 14:24: **********Val Epoch 3: average Loss: 22.591100
2023-06-25 14:24: *********************************Current best model saved!
2023-06-25 14:24: Train Epoch 4: 0/167 Loss: 21.906603
2023-06-25 14:24: Train Epoch 4: 20/167 Loss: 20.353622
2023-06-25 14:24: Train Epoch 4: 40/167 Loss: 20.819643
2023-06-25 14:25: Train Epoch 4: 60/167 Loss: 22.168940
2023-06-25 14:25: Train Epoch 4: 80/167 Loss: 21.407127
2023-06-25 14:25: Train Epoch 4: 100/167 Loss: 22.560194
2023-06-25 14:25: Train Epoch 4: 120/167 Loss: 21.502146
2023-06-25 14:25: Train Epoch 4: 140/167 Loss: 24.442837
2023-06-25 14:26: Train Epoch 4: 160/167 Loss: 23.031458
2023-06-25 14:26: **********Train Epoch 4: averaged Loss: 22.312673
2023-06-25 14:26: **********Val Epoch 4: average Loss: 21.766655
2023-06-25 14:26: *********************************Current best model saved!
2023-06-25 14:26: Train Epoch 5: 0/167 Loss: 21.855852
2023-06-25 14:26: Train Epoch 5: 20/167 Loss: 20.877077
2023-06-25 14:26: Train Epoch 5: 40/167 Loss: 21.610487
2023-06-25 14:26: Train Epoch 5: 60/167 Loss: 22.090176
2023-06-25 14:27: Train Epoch 5: 80/167 Loss: 20.584888
2023-06-25 14:27: Train Epoch 5: 100/167 Loss: 22.560740
2023-06-25 14:27: Train Epoch 5: 120/167 Loss: 20.856434
2023-06-25 14:27: Train Epoch 5: 140/167 Loss: 18.711464
2023-06-25 14:28: Train Epoch 5: 160/167 Loss: 21.664810
2023-06-25 14:28: **********Train Epoch 5: averaged Loss: 20.814738
2023-06-25 14:28: **********Val Epoch 5: average Loss: 21.508590
2023-06-25 14:28: *********************************Current best model saved!
2023-06-25 14:28: Train Epoch 6: 0/167 Loss: 21.782568
2023-06-25 14:28: Train Epoch 6: 20/167 Loss: 20.533430
2023-06-25 14:28: Train Epoch 6: 40/167 Loss: 19.659672
2023-06-25 14:28: Train Epoch 6: 60/167 Loss: 20.696501
2023-06-25 14:29: Train Epoch 6: 80/167 Loss: 19.081114
2023-06-25 14:29: Train Epoch 6: 100/167 Loss: 20.118916
2023-06-25 14:29: Train Epoch 6: 120/167 Loss: 18.948938
2023-06-25 14:29: Train Epoch 6: 140/167 Loss: 22.063129
2023-06-25 14:30: Train Epoch 6: 160/167 Loss: 21.766073
2023-06-25 14:30: **********Train Epoch 6: averaged Loss: 20.275220
2023-06-25 14:30: **********Val Epoch 6: average Loss: 21.255828
2023-06-25 14:30: *********************************Current best model saved!
2023-06-25 14:30: Train Epoch 7: 0/167 Loss: 20.408779
2023-06-25 14:30: Train Epoch 7: 20/167 Loss: 19.724508
2023-06-25 14:30: Train Epoch 7: 40/167 Loss: 18.524458
2023-06-25 14:30: Train Epoch 7: 60/167 Loss: 19.624920
2023-06-25 14:31: Train Epoch 7: 80/167 Loss: 19.061445
2023-06-25 14:31: Train Epoch 7: 100/167 Loss: 20.759176
2023-06-25 14:31: Train Epoch 7: 120/167 Loss: 20.330765
2023-06-25 14:31: Train Epoch 7: 140/167 Loss: 19.081608
2023-06-25 14:31: Train Epoch 7: 160/167 Loss: 19.250196
2023-06-25 14:31: **********Train Epoch 7: averaged Loss: 19.305203
2023-06-25 14:32: **********Val Epoch 7: average Loss: 19.210605
2023-06-25 14:32: *********************************Current best model saved!
2023-06-25 14:32: Train Epoch 8: 0/167 Loss: 19.411858
2023-06-25 14:32: Train Epoch 8: 20/167 Loss: 18.152119
2023-06-25 14:32: Train Epoch 8: 40/167 Loss: 19.098003
2023-06-25 14:32: Train Epoch 8: 60/167 Loss: 19.287010
2023-06-25 14:33: Train Epoch 8: 80/167 Loss: 20.956539
2023-06-25 14:33: Train Epoch 8: 100/167 Loss: 19.837938
2023-06-25 14:33: Train Epoch 8: 120/167 Loss: 17.972454
2023-06-25 14:33: Train Epoch 8: 140/167 Loss: 18.969124
2023-06-25 14:33: Train Epoch 8: 160/167 Loss: 19.029453
2023-06-25 14:33: **********Train Epoch 8: averaged Loss: 19.048041
2023-06-25 14:34: **********Val Epoch 8: average Loss: 20.207288
2023-06-25 14:34: Train Epoch 9: 0/167 Loss: 21.148684
2023-06-25 14:34: Train Epoch 9: 20/167 Loss: 18.353790
2023-06-25 14:34: Train Epoch 9: 40/167 Loss: 18.291914
2023-06-25 14:34: Train Epoch 9: 60/167 Loss: 17.846659
2023-06-25 14:34: Train Epoch 9: 80/167 Loss: 18.746248
2023-06-25 14:35: Train Epoch 9: 100/167 Loss: 18.592445
2023-06-25 14:35: Train Epoch 9: 120/167 Loss: 17.974699
2023-06-25 14:35: Train Epoch 9: 140/167 Loss: 18.649004
2023-06-25 14:35: Train Epoch 9: 160/167 Loss: 18.134499
2023-06-25 14:35: **********Train Epoch 9: averaged Loss: 18.799489
2023-06-25 14:36: **********Val Epoch 9: average Loss: 19.435989
2023-06-25 14:36: Train Epoch 10: 0/167 Loss: 19.489344
2023-06-25 14:36: Train Epoch 10: 20/167 Loss: 20.004986
2023-06-25 14:36: Train Epoch 10: 40/167 Loss: 19.005604
2023-06-25 14:36: Train Epoch 10: 60/167 Loss: 18.403919
2023-06-25 14:36: Train Epoch 10: 80/167 Loss: 17.486580
2023-06-25 14:37: Train Epoch 10: 100/167 Loss: 18.135159
2023-06-25 14:37: Train Epoch 10: 120/167 Loss: 17.717833
2023-06-25 14:37: Train Epoch 10: 140/167 Loss: 18.503166
2023-06-25 14:37: Train Epoch 10: 160/167 Loss: 17.552267
2023-06-25 14:37: **********Train Epoch 10: averaged Loss: 18.606290
2023-06-25 14:37: **********Val Epoch 10: average Loss: 18.620667
2023-06-25 14:37: *********************************Current best model saved!
2023-06-25 14:37: Train Epoch 11: 0/167 Loss: 17.506687
2023-06-25 14:38: Train Epoch 11: 20/167 Loss: 16.939499
2023-06-25 14:38: Train Epoch 11: 40/167 Loss: 19.543879
2023-06-25 14:38: Train Epoch 11: 60/167 Loss: 17.713511
2023-06-25 14:38: Train Epoch 11: 80/167 Loss: 19.385824
2023-06-25 14:38: Train Epoch 11: 100/167 Loss: 18.319555
2023-06-25 14:39: Train Epoch 11: 120/167 Loss: 18.934649
2023-06-25 14:39: Train Epoch 11: 140/167 Loss: 18.914059
2023-06-25 14:39: Train Epoch 11: 160/167 Loss: 17.952414
2023-06-25 14:39: **********Train Epoch 11: averaged Loss: 18.459575
2023-06-25 14:39: **********Val Epoch 11: average Loss: 18.998779
2023-06-25 14:39: Train Epoch 12: 0/167 Loss: 19.799265
2023-06-25 14:40: Train Epoch 12: 20/167 Loss: 19.072088
2023-06-25 14:40: Train Epoch 12: 40/167 Loss: 18.776403
2023-06-25 14:40: Train Epoch 12: 60/167 Loss: 18.665148
2023-06-25 14:40: Train Epoch 12: 80/167 Loss: 19.036507
2023-06-25 14:40: Train Epoch 12: 100/167 Loss: 18.093946
2023-06-25 14:41: Train Epoch 12: 120/167 Loss: 18.106258
2023-06-25 14:41: Train Epoch 12: 140/167 Loss: 18.194761
2023-06-25 14:41: Train Epoch 12: 160/167 Loss: 18.781189
2023-06-25 14:41: **********Train Epoch 12: averaged Loss: 18.271909
2023-06-25 14:41: **********Val Epoch 12: average Loss: 18.743098
2023-06-25 14:41: Train Epoch 13: 0/167 Loss: 17.508587
2023-06-25 14:41: Train Epoch 13: 20/167 Loss: 16.564054
2023-06-25 14:42: Train Epoch 13: 40/167 Loss: 18.973499
2023-06-25 14:42: Train Epoch 13: 60/167 Loss: 18.034184
2023-06-25 14:42: Train Epoch 13: 80/167 Loss: 17.856449
2023-06-25 14:42: Train Epoch 13: 100/167 Loss: 19.225311
2023-06-25 14:43: Train Epoch 13: 120/167 Loss: 18.694887
2023-06-25 14:43: Train Epoch 13: 140/167 Loss: 18.197899
2023-06-25 14:43: Train Epoch 13: 160/167 Loss: 18.405363
2023-06-25 14:43: **********Train Epoch 13: averaged Loss: 18.217074
2023-06-25 14:43: **********Val Epoch 13: average Loss: 18.691278
2023-06-25 14:43: Train Epoch 14: 0/167 Loss: 17.353964
2023-06-25 14:43: Train Epoch 14: 20/167 Loss: 18.528145
2023-06-25 14:44: Train Epoch 14: 40/167 Loss: 17.788010
2023-06-25 14:44: Train Epoch 14: 60/167 Loss: 17.557232
2023-06-25 14:44: Train Epoch 14: 80/167 Loss: 17.984980
2023-06-25 14:44: Train Epoch 14: 100/167 Loss: 16.998953
2023-06-25 14:44: Train Epoch 14: 120/167 Loss: 18.798861
2023-06-25 14:45: Train Epoch 14: 140/167 Loss: 16.880825
2023-06-25 14:45: Train Epoch 14: 160/167 Loss: 17.133375
2023-06-25 14:45: **********Train Epoch 14: averaged Loss: 18.125929
2023-06-25 14:45: **********Val Epoch 14: average Loss: 18.604383
2023-06-25 14:45: *********************************Current best model saved!
2023-06-25 14:45: Train Epoch 15: 0/167 Loss: 17.594643
2023-06-25 14:45: Train Epoch 15: 20/167 Loss: 17.222872
2023-06-25 14:45: Train Epoch 15: 40/167 Loss: 17.988356
2023-06-25 14:46: Train Epoch 15: 60/167 Loss: 17.178413
2023-06-25 14:46: Train Epoch 15: 80/167 Loss: 19.661972
2023-06-25 14:46: Train Epoch 15: 100/167 Loss: 19.247623
2023-06-25 14:46: Train Epoch 15: 120/167 Loss: 18.008018
2023-06-25 14:47: Train Epoch 15: 140/167 Loss: 17.726271
2023-06-25 14:47: Train Epoch 15: 160/167 Loss: 19.455423
2023-06-25 14:47: **********Train Epoch 15: averaged Loss: 18.172892
2023-06-25 14:47: **********Val Epoch 15: average Loss: 19.175287
2023-06-25 14:47: Train Epoch 16: 0/167 Loss: 18.824986
2023-06-25 14:47: Train Epoch 16: 20/167 Loss: 16.438152
2023-06-25 14:47: Train Epoch 16: 40/167 Loss: 16.022373
2023-06-25 14:48: Train Epoch 16: 60/167 Loss: 18.724369
2023-06-25 14:48: Train Epoch 16: 80/167 Loss: 16.434679
2023-06-25 14:48: Train Epoch 16: 100/167 Loss: 17.062824
2023-06-25 14:48: Train Epoch 16: 120/167 Loss: 18.001354
2023-06-25 14:49: Train Epoch 16: 140/167 Loss: 18.096128
2023-06-25 14:49: Train Epoch 16: 160/167 Loss: 18.575775
2023-06-25 14:49: **********Train Epoch 16: averaged Loss: 17.753286
2023-06-25 14:49: **********Val Epoch 16: average Loss: 18.122284
2023-06-25 14:49: *********************************Current best model saved!
2023-06-25 14:49: Train Epoch 17: 0/167 Loss: 15.983928
2023-06-25 14:49: Train Epoch 17: 20/167 Loss: 18.308779
2023-06-25 14:49: Train Epoch 17: 40/167 Loss: 17.897293
2023-06-25 14:50: Train Epoch 17: 60/167 Loss: 17.892134
2023-06-25 14:50: Train Epoch 17: 80/167 Loss: 17.576714
2023-06-25 14:50: Train Epoch 17: 100/167 Loss: 17.819410
2023-06-25 14:50: Train Epoch 17: 120/167 Loss: 17.739166
2023-06-25 14:51: Train Epoch 17: 140/167 Loss: 16.993578
2023-06-25 14:51: Train Epoch 17: 160/167 Loss: 18.668192
2023-06-25 14:51: **********Train Epoch 17: averaged Loss: 17.926070
2023-06-25 14:51: **********Val Epoch 17: average Loss: 18.267516
2023-06-25 14:51: Train Epoch 18: 0/167 Loss: 17.266975
2023-06-25 14:51: Train Epoch 18: 20/167 Loss: 18.120377
2023-06-25 14:51: Train Epoch 18: 40/167 Loss: 17.828470
2023-06-25 14:52: Train Epoch 18: 60/167 Loss: 18.325089
2023-06-25 14:52: Train Epoch 18: 80/167 Loss: 17.061663
2023-06-25 14:52: Train Epoch 18: 100/167 Loss: 16.510624
2023-06-25 14:52: Train Epoch 18: 120/167 Loss: 17.009209
2023-06-25 14:52: Train Epoch 18: 140/167 Loss: 18.192074
2023-06-25 14:53: Train Epoch 18: 160/167 Loss: 18.899166
2023-06-25 14:53: **********Train Epoch 18: averaged Loss: 17.737930
2023-06-25 14:53: **********Val Epoch 18: average Loss: 18.793699
2023-06-25 14:53: Train Epoch 19: 0/167 Loss: 18.582148
2023-06-25 14:53: Train Epoch 19: 20/167 Loss: 17.566784
2023-06-25 14:53: Train Epoch 19: 40/167 Loss: 17.558783
2023-06-25 14:54: Train Epoch 19: 60/167 Loss: 16.542725
2023-06-25 14:54: Train Epoch 19: 80/167 Loss: 16.750950
2023-06-25 14:54: Train Epoch 19: 100/167 Loss: 17.681841
2023-06-25 14:54: Train Epoch 19: 120/167 Loss: 17.747780
2023-06-25 14:54: Train Epoch 19: 140/167 Loss: 17.442320
2023-06-25 14:55: Train Epoch 19: 160/167 Loss: 16.285368
2023-06-25 14:55: **********Train Epoch 19: averaged Loss: 17.606073
2023-06-25 14:55: **********Val Epoch 19: average Loss: 19.696291
2023-06-25 14:55: Train Epoch 20: 0/167 Loss: 17.580404
2023-06-25 14:55: Train Epoch 20: 20/167 Loss: 16.623997
2023-06-25 14:55: Train Epoch 20: 40/167 Loss: 17.880938
2023-06-25 14:56: Train Epoch 20: 60/167 Loss: 16.743486
2023-06-25 14:56: Train Epoch 20: 80/167 Loss: 18.173956
2023-06-25 14:56: Train Epoch 20: 100/167 Loss: 17.004282
2023-06-25 14:56: Train Epoch 20: 120/167 Loss: 17.386793
2023-06-25 14:56: Train Epoch 20: 140/167 Loss: 18.603579
2023-06-25 14:57: Train Epoch 20: 160/167 Loss: 17.811695
2023-06-25 14:57: **********Train Epoch 20: averaged Loss: 17.401059
2023-06-25 14:57: **********Val Epoch 20: average Loss: 18.502271
2023-06-25 14:57: Train Epoch 21: 0/167 Loss: 18.097673
2023-06-25 14:57: Train Epoch 21: 20/167 Loss: 18.031292
2023-06-25 14:57: Train Epoch 21: 40/167 Loss: 16.723433
2023-06-25 14:57: Train Epoch 21: 60/167 Loss: 18.147388
2023-06-25 14:58: Train Epoch 21: 80/167 Loss: 16.508162
2023-06-25 14:58: Train Epoch 21: 100/167 Loss: 16.925215
2023-06-25 14:58: Train Epoch 21: 120/167 Loss: 15.987179
2023-06-25 14:58: Train Epoch 21: 140/167 Loss: 17.408937
2023-06-25 14:58: Train Epoch 21: 160/167 Loss: 17.763847
2023-06-25 14:59: **********Train Epoch 21: averaged Loss: 17.303169
2023-06-25 14:59: **********Val Epoch 21: average Loss: 18.162400
2023-06-25 14:59: Train Epoch 22: 0/167 Loss: 17.869570
2023-06-25 14:59: Train Epoch 22: 20/167 Loss: 17.655830
2023-06-25 14:59: Train Epoch 22: 40/167 Loss: 17.235065
2023-06-25 14:59: Train Epoch 22: 60/167 Loss: 16.352093
2023-06-25 15:00: Train Epoch 22: 80/167 Loss: 17.529205
2023-06-25 15:00: Train Epoch 22: 100/167 Loss: 18.241285
2023-06-25 15:00: Train Epoch 22: 120/167 Loss: 16.911345
2023-06-25 15:00: Train Epoch 22: 140/167 Loss: 16.521175
2023-06-25 15:00: Train Epoch 22: 160/167 Loss: 17.743929
2023-06-25 15:00: **********Train Epoch 22: averaged Loss: 17.156450
2023-06-25 15:01: **********Val Epoch 22: average Loss: 18.692572
2023-06-25 15:01: Train Epoch 23: 0/167 Loss: 17.197439
2023-06-25 15:01: Train Epoch 23: 20/167 Loss: 17.112188
2023-06-25 15:01: Train Epoch 23: 40/167 Loss: 17.399893
2023-06-25 15:01: Train Epoch 23: 60/167 Loss: 17.392126
2023-06-25 15:02: Train Epoch 23: 80/167 Loss: 17.864000
2023-06-25 15:02: Train Epoch 23: 100/167 Loss: 17.278341
2023-06-25 15:02: Train Epoch 23: 120/167 Loss: 17.116573
2023-06-25 15:02: Train Epoch 23: 140/167 Loss: 17.707472
2023-06-25 15:02: Train Epoch 23: 160/167 Loss: 16.949486
2023-06-25 15:02: **********Train Epoch 23: averaged Loss: 17.373766
2023-06-25 15:03: **********Val Epoch 23: average Loss: 17.767508
2023-06-25 15:03: *********************************Current best model saved!
2023-06-25 15:03: Train Epoch 24: 0/167 Loss: 16.859459
2023-06-25 15:03: Train Epoch 24: 20/167 Loss: 17.099854
2023-06-25 15:03: Train Epoch 24: 40/167 Loss: 16.919603
2023-06-25 15:03: Train Epoch 24: 60/167 Loss: 16.607283
2023-06-25 15:03: Train Epoch 24: 80/167 Loss: 18.288837
2023-06-25 15:04: Train Epoch 24: 100/167 Loss: 16.886566
2023-06-25 15:04: Train Epoch 24: 120/167 Loss: 17.068884
2023-06-25 15:04: Train Epoch 24: 140/167 Loss: 19.757582
2023-06-25 15:04: Train Epoch 24: 160/167 Loss: 18.232384
2023-06-25 15:04: **********Train Epoch 24: averaged Loss: 17.438549
2023-06-25 15:05: **********Val Epoch 24: average Loss: 18.670432
2023-06-25 15:05: Train Epoch 25: 0/167 Loss: 16.782944
2023-06-25 15:05: Train Epoch 25: 20/167 Loss: 16.384176
2023-06-25 15:05: Train Epoch 25: 40/167 Loss: 16.797470
2023-06-25 15:05: Train Epoch 25: 60/167 Loss: 16.348263
2023-06-25 15:05: Train Epoch 25: 80/167 Loss: 16.332279
2023-06-25 15:06: Train Epoch 25: 100/167 Loss: 17.814243
2023-06-25 15:06: Train Epoch 25: 120/167 Loss: 17.957649
2023-06-25 15:06: Train Epoch 25: 140/167 Loss: 16.451536
2023-06-25 15:06: Train Epoch 25: 160/167 Loss: 16.994951
2023-06-25 15:06: **********Train Epoch 25: averaged Loss: 17.098913
2023-06-25 15:06: **********Val Epoch 25: average Loss: 17.463260
2023-06-25 15:06: *********************************Current best model saved!
2023-06-25 15:06: Train Epoch 26: 0/167 Loss: 16.834499
2023-06-25 15:07: Train Epoch 26: 20/167 Loss: 17.475182
2023-06-25 15:07: Train Epoch 26: 40/167 Loss: 17.265053
2023-06-25 15:07: Train Epoch 26: 60/167 Loss: 16.642086
2023-06-25 15:07: Train Epoch 26: 80/167 Loss: 15.946914
2023-06-25 15:07: Train Epoch 26: 100/167 Loss: 17.029118
2023-06-25 15:08: Train Epoch 26: 120/167 Loss: 16.233185
2023-06-25 15:08: Train Epoch 26: 140/167 Loss: 18.469830
2023-06-25 15:08: Train Epoch 26: 160/167 Loss: 20.064968
2023-06-25 15:08: **********Train Epoch 26: averaged Loss: 17.111169
2023-06-25 15:08: **********Val Epoch 26: average Loss: 19.429812
2023-06-25 15:08: Train Epoch 27: 0/167 Loss: 18.325563
2023-06-25 15:09: Train Epoch 27: 20/167 Loss: 16.835798
2023-06-25 15:09: Train Epoch 27: 40/167 Loss: 15.904349
2023-06-25 15:09: Train Epoch 27: 60/167 Loss: 16.879604
2023-06-25 15:09: Train Epoch 27: 80/167 Loss: 17.318748
2023-06-25 15:09: Train Epoch 27: 100/167 Loss: 16.426172
2023-06-25 15:10: Train Epoch 27: 120/167 Loss: 17.476723
2023-06-25 15:10: Train Epoch 27: 140/167 Loss: 16.558985
2023-06-25 15:10: Train Epoch 27: 160/167 Loss: 17.627462
2023-06-25 15:10: **********Train Epoch 27: averaged Loss: 16.889638
2023-06-25 15:10: **********Val Epoch 27: average Loss: 17.907062
2023-06-25 15:10: Train Epoch 28: 0/167 Loss: 17.325586
2023-06-25 15:11: Train Epoch 28: 20/167 Loss: 17.573017
2023-06-25 15:11: Train Epoch 28: 40/167 Loss: 15.612899
2023-06-25 15:11: Train Epoch 28: 60/167 Loss: 16.037928
2023-06-25 15:11: Train Epoch 28: 80/167 Loss: 15.510692
2023-06-25 15:11: Train Epoch 28: 100/167 Loss: 17.086693
2023-06-25 15:12: Train Epoch 28: 120/167 Loss: 17.379808
2023-06-25 15:12: Train Epoch 28: 140/167 Loss: 17.399775
2023-06-25 15:12: Train Epoch 28: 160/167 Loss: 17.788534
2023-06-25 15:12: **********Train Epoch 28: averaged Loss: 16.737906
2023-06-25 15:12: **********Val Epoch 28: average Loss: 17.853495
2023-06-25 15:12: Train Epoch 29: 0/167 Loss: 16.763681
2023-06-25 15:12: Train Epoch 29: 20/167 Loss: 16.760900
2023-06-25 15:13: Train Epoch 29: 40/167 Loss: 16.116297
2023-06-25 15:13: Train Epoch 29: 60/167 Loss: 16.153540
2023-06-25 15:13: Train Epoch 29: 80/167 Loss: 16.673115
2023-06-25 15:13: Train Epoch 29: 100/167 Loss: 17.138361
2023-06-25 15:14: Train Epoch 29: 120/167 Loss: 17.265230
2023-06-25 15:14: Train Epoch 29: 140/167 Loss: 16.369333
2023-06-25 15:14: Train Epoch 29: 160/167 Loss: 16.488043
2023-06-25 15:14: **********Train Epoch 29: averaged Loss: 16.715974
2023-06-25 15:14: **********Val Epoch 29: average Loss: 17.391903
2023-06-25 15:14: *********************************Current best model saved!
2023-06-25 15:14: Train Epoch 30: 0/167 Loss: 16.731001
2023-06-25 15:14: Train Epoch 30: 20/167 Loss: 16.517099
2023-06-25 15:15: Train Epoch 30: 40/167 Loss: 15.943843
2023-06-25 15:15: Train Epoch 30: 60/167 Loss: 16.628731
2023-06-25 15:15: Train Epoch 30: 80/167 Loss: 17.821178
2023-06-25 15:15: Train Epoch 30: 100/167 Loss: 16.493155
2023-06-25 15:15: Train Epoch 30: 120/167 Loss: 17.135870
2023-06-25 15:16: Train Epoch 30: 140/167 Loss: 17.126665
2023-06-25 15:16: Train Epoch 30: 160/167 Loss: 17.000174
2023-06-25 15:16: **********Train Epoch 30: averaged Loss: 16.586458
2023-06-25 15:16: **********Val Epoch 30: average Loss: 17.418707
2023-06-25 15:16: Train Epoch 31: 0/167 Loss: 16.327496
2023-06-25 15:16: Train Epoch 31: 20/167 Loss: 16.089241
2023-06-25 15:17: Train Epoch 31: 40/167 Loss: 16.398441
2023-06-25 15:17: Train Epoch 31: 60/167 Loss: 16.296534
2023-06-25 15:17: Train Epoch 31: 80/167 Loss: 16.184250
2023-06-25 15:17: Train Epoch 31: 100/167 Loss: 16.828434
2023-06-25 15:17: Train Epoch 31: 120/167 Loss: 16.129730
2023-06-25 15:18: Train Epoch 31: 140/167 Loss: 17.035553
2023-06-25 15:18: Train Epoch 31: 160/167 Loss: 16.885647
2023-06-25 15:18: **********Train Epoch 31: averaged Loss: 16.687369
2023-06-25 15:18: **********Val Epoch 31: average Loss: 17.369451
2023-06-25 15:18: *********************************Current best model saved!
2023-06-25 15:18: Train Epoch 32: 0/167 Loss: 16.452299
2023-06-25 15:18: Train Epoch 32: 20/167 Loss: 17.771126
2023-06-25 15:18: Train Epoch 32: 40/167 Loss: 16.220888
2023-06-25 15:19: Train Epoch 32: 60/167 Loss: 16.279335
2023-06-25 15:19: Train Epoch 32: 80/167 Loss: 17.885988
2023-06-25 15:19: Train Epoch 32: 100/167 Loss: 15.978615
2023-06-25 15:19: Train Epoch 32: 120/167 Loss: 15.833143
2023-06-25 15:19: Train Epoch 32: 140/167 Loss: 16.749531
2023-06-25 15:20: Train Epoch 32: 160/167 Loss: 16.665783
2023-06-25 15:20: **********Train Epoch 32: averaged Loss: 16.627012
2023-06-25 15:20: **********Val Epoch 32: average Loss: 18.174814
2023-06-25 15:20: Train Epoch 33: 0/167 Loss: 16.482365
2023-06-25 15:20: Train Epoch 33: 20/167 Loss: 17.624168
2023-06-25 15:20: Train Epoch 33: 40/167 Loss: 16.107531
2023-06-25 15:21: Train Epoch 33: 60/167 Loss: 16.336599
2023-06-25 15:21: Train Epoch 33: 80/167 Loss: 15.909940
2023-06-25 15:21: Train Epoch 33: 100/167 Loss: 15.891350
2023-06-25 15:21: Train Epoch 33: 120/167 Loss: 16.702551
2023-06-25 15:21: Train Epoch 33: 140/167 Loss: 15.486967
2023-06-25 15:22: Train Epoch 33: 160/167 Loss: 17.970186
2023-06-25 15:22: **********Train Epoch 33: averaged Loss: 16.528906
2023-06-25 15:22: **********Val Epoch 33: average Loss: 19.172977
2023-06-25 15:22: Train Epoch 34: 0/167 Loss: 17.905380
2023-06-25 15:22: Train Epoch 34: 20/167 Loss: 16.260221
2023-06-25 15:22: Train Epoch 34: 40/167 Loss: 16.551348
2023-06-25 15:22: Train Epoch 34: 60/167 Loss: 15.934989
2023-06-25 15:23: Train Epoch 34: 80/167 Loss: 16.236717
2023-06-25 15:23: Train Epoch 34: 100/167 Loss: 15.579879
2023-06-25 15:23: Train Epoch 34: 120/167 Loss: 16.639309
2023-06-25 15:23: Train Epoch 34: 140/167 Loss: 17.232252
2023-06-25 15:24: Train Epoch 34: 160/167 Loss: 16.556595
2023-06-25 15:24: **********Train Epoch 34: averaged Loss: 16.444154
2023-06-25 15:24: **********Val Epoch 34: average Loss: 18.024072
2023-06-25 15:24: Train Epoch 35: 0/167 Loss: 16.967667
2023-06-25 15:24: Train Epoch 35: 20/167 Loss: 16.946451
2023-06-25 15:24: Train Epoch 35: 40/167 Loss: 15.684150
2023-06-25 15:24: Train Epoch 35: 60/167 Loss: 16.089371
2023-06-25 15:25: Train Epoch 35: 80/167 Loss: 15.314106
2023-06-25 15:25: Train Epoch 35: 100/167 Loss: 16.935625
2023-06-25 15:25: Train Epoch 35: 120/167 Loss: 17.652893
2023-06-25 15:25: Train Epoch 35: 140/167 Loss: 16.423475
2023-06-25 15:25: Train Epoch 35: 160/167 Loss: 17.382929
2023-06-25 15:25: **********Train Epoch 35: averaged Loss: 16.483658
2023-06-25 15:26: **********Val Epoch 35: average Loss: 18.560209
2023-06-25 15:26: Train Epoch 36: 0/167 Loss: 17.770176
2023-06-25 15:26: Train Epoch 36: 20/167 Loss: 18.171003
